STANDARD HD600 DATA LOGGER SamplingRate:1.0;
22-09-2019,9:21:10, 66.70, dBA
22-09-2019,9:21:11, 76.00, dBA
22-09-2019,9:21:12, 69.10, dBA
22-09-2019,9:21:13, 71.60, dBA
22-09-2019,9:21:14, 66.10, dBA
22-09-2019,9:21:15, 65.50, dBA
22-09-2019,9:21:16, 70.10, dBA
22-09-2019,9:21:17, 71.00, dBA
22-09-2019,9:21:18, 73.00, dBA
22-09-2019,9:21:19, 68.10, dBA
22-09-2019,9:21:20, 74.90, dBA
22-09-2019,9:21:21, 75.70, dBA
22-09-2019,9:21:22, 69.40, dBA
22-09-2019,9:21:23, 68.30, dBA
22-09-2019,9:21:24, 69.50, dBA
22-09-2019,9:21:25, 68.20, dBA
22-09-2019,9:21:26, 66.70, dBA
22-09-2019,9:21:27, 71.60, dBA
22-09-2019,9:21:28, 72.40, dBA
22-09-2019,9:21:29, 70.20, dBA
22-09-2019,9:21:30, 73.20, dBA
22-09-2019,9:21:31, 71.60, dBA
22-09-2019,9:21:32, 72.40, dBA
22-09-2019,9:21:33, 73.40, dBA
22-09-2019,9:21:34, 69.80, dBA
22-09-2019,9:21:35, 73.60, dBA
22-09-2019,9:21:36, 78.20, dBA
22-09-2019,9:21:37, 71.60, dBA
22-09-2019,9:21:38, 69.30, dBA
22-09-2019,9:21:39, 68.40, dBA
22-09-2019,9:21:40, 69.20, dBA
22-09-2019,9:21:41, 71.80, dBA
22-09-2019,9:21:42, 66.20, dBA
22-09-2019,9:21:43, 75.90, dBA
22-09-2019,9:21:44, 73.10, dBA
22-09-2019,9:21:45, 68.40, dBA
22-09-2019,9:21:46, 80.20, dBA
22-09-2019,9:21:47, 76.50, dBA
22-09-2019,9:21:48, 66.30, dBA
22-09-2019,9:21:49, 67.30, dBA
22-09-2019,9:21:50, 68.50, dBA
22-09-2019,9:21:51, 68.90, dBA
22-09-2019,9:21:52, 69.80, dBA
22-09-2019,9:21:53, 68.70, dBA
22-09-2019,9:21:54, 66.90, dBA
22-09-2019,9:21:55, 66.70, dBA
22-09-2019,9:21:56, 72.80, dBA
22-09-2019,9:21:57, 73.40, dBA
22-09-2019,9:21:58, 71.10, dBA
22-09-2019,9:21:59, 69.20, dBA
22-09-2019,9:22:00, 69.70, dBA
22-09-2019,9:22:01, 70.50, dBA
22-09-2019,9:22:02, 74.60, dBA
22-09-2019,9:22:03, 69.10, dBA
22-09-2019,9:22:04, 84.30, dBA
22-09-2019,9:22:05, 69.20, dBA
22-09-2019,9:22:06, 76.90, dBA
22-09-2019,9:22:07, 69.80, dBA
22-09-2019,9:22:08, 80.60, dBA
22-09-2019,9:22:09, 69.00, dBA
22-09-2019,9:22:10, 75.30, dBA
22-09-2019,9:22:11, 72.00, dBA
22-09-2019,9:22:12, 72.20, dBA
22-09-2019,9:22:13, 80.40, dBA
22-09-2019,9:22:14, 80.40, dBA
22-09-2019,9:22:15, 70.40, dBA
22-09-2019,9:22:16, 71.80, dBA
22-09-2019,9:22:17, 71.80, dBA
22-09-2019,9:22:18, 73.60, dBA
22-09-2019,9:22:19, 71.80, dBA
22-09-2019,9:22:20, 76.00, dBA
22-09-2019,9:22:21, 77.10, dBA
22-09-2019,9:22:22, 73.00, dBA
22-09-2019,9:22:23, 82.00, dBA
22-09-2019,9:22:24, 71.20, dBA
22-09-2019,9:22:25, 69.40, dBA
22-09-2019,9:22:26, 69.10, dBA
22-09-2019,9:22:27, 68.50, dBA
22-09-2019,9:22:28, 73.70, dBA
